"YEAR","STATE.UT","SERVICES...GDP","INDUSTRY...GDP","GDP.PER.CAPITA","POPULATION","X..URBAN","NO2","SO2"
2006,"Jharkhand","39.11319271","43.31844341","20214.24622",29299000,22.8,55.95,20.9
2007,"Jharkhand","36.4385305","48.16656208","23996.33888",29745000,22.9,47.9074074074074,20.7624338624339
2008,"Jharkhand","40.34124888","41.39365967","23236.29436",30181000,23,37.8630208333333,18.6291666666667
2009,"Jharkhand","44.33590402","40.11094505","25232.77253",30611000,23.1,34.2258928571429,17.7142857142857
2010,"Jharkhand","43.97772785","41.99892861","28830.90851",31040000,23.2,39.1259541984733,23.087786259542
2011,"Jharkhand","43.09821536","39.9603527","29711.96937",31472000,23.3,35.4257425742574,17.049504950495
2012,"Jharkhand","44.74205414","38.5196277","31488.46853",31904000,23.4,37.1088082901554,16.8860103626943
2013,"Jharkhand","45.85695926","37.49720885","33836.95491",32334000,23.5,38.2851380207812,17.4071992185937
2014,"Jharkhand","47.24081791","36.11445072","36239.74852",32766000,23.6,35.0232558139535,14.8139534883721
2004,"Karnataka","51.01648826","30.27863808","30358.50599",54926000,34.9,41.9100346020761,8.42560553633218
2005,"Karnataka","51.70304188","29.69217596","33145.13913",55597000,35.3,20.755,6.327
2006,"Karnataka","51.96232016","31.60137097","36023.3389",56258000,35.6,23.5719242902208,9.02681388012618
2007,"Karnataka","52.49219168","31.10530291","40099.48339",56909000,35.9,26.4341666666667,9.99520833333333
2008,"Karnataka","53.80422122","30.53468563","42471.13467",57550000,36.2,28.0744186046512,9.07720930232558
2009,"Karnataka","54.17058157","29.70304692","42555.17953",58181000,36.5,25.6977375565611,8.31108597285068
2010,"Karnataka","53.4960286","29.53453839","46378.0202",58804000,36.9,NA,NA
2011,"Karnataka","55.3499809","29.369296","47591.51113",59419000,37.2,23.25,10.9248120300752
2012,"Karnataka","57.64631613","27.59929834","49976.78839",60026000,37.5,25.3629925187032,11.9915960099751
2013,"Karnataka","58.09421142","26.83819348","53024.42597",60624000,37.8,17.8132969034608,8.60291438979964
2014,"Karnataka","59.12105033","26.16378554","56213.56389",61214000,38.2,19.1611996251172,8.50890346766635
2004,"Kerala","59.59162027","22.93139589","36464.36543",32707000,25.8,NA,NA
2005,"Kerala","60.43979337","22.8936631","39799.30583",32989000,25.8,22.5781879194631,6.21812080536913
2006,"Kerala","62.88128847","22.64271156","42587.31099",33265000,25.7,22.2359743040685,6.0610278372591
2007,"Kerala","64.41708977","22.43813269","45949.80766",33535000,25.7,23.4317254174397,5.80241187384045
2008,"Kerala","65.94986327","21.35084274","48121.17626",33802000,25.7,22.2166180758017,5.97390670553936
2009,"Kerala","67.46128246","21.08795141","52130.27332",34063000,25.6,21.6896595208071,5.75737704918033
